Date,TCWRS,ETI-5,eti_available_count,eti_raw_score,eti_capped_score,eti_cap_reason,Tail Risk,BCD,CP,bear_trend_score,bear_trend_floor_signal,red_confirmed_by,signal_before_stability_rule,signal_after_stability_rule,red_lock_active,Signal,Close,forward_5d_max_drawdown,forward_10d_max_drawdown,forward_20d_max_drawdown,forward_40d_max_drawdown,forward_60d_max_drawdown,Forward 20D Max Drawdown %,false_positive_20d,false_positive_40d,false_positive_60d,delayed_valid_signal,False Positive,Drawdown Avoided %
2020-02-03,0,0,1,0,0,available components <= 2; capped at 2,16.93,13.55,4.74,0,,,Green,Green,False,Green,11354.92,1.77,1.77,-1.62,-23.55,-23.55,-1.62,False,False,False,False,False,0.0
2020-02-04,0,0,1,0,0,available components <= 2; capped at 2,12.81,10.24,3.59,0,,,Green,Green,False,Green,11555.92,0.15,0.15,-3.34,-24.88,-24.88,-3.34,False,False,False,False,False,0.0
2020-02-05,0,0,1,0,0,available components <= 2; capped at 2,14.55,9.95,3.91,0,,,Green,Green,False,Green,11573.62,0.0,0.0,-3.48,-24.99,-24.99,-3.48,False,False,False,False,False,0.0
2020-02-06,0,0,1,0,0,available components <= 2; capped at 2,13.69,7.06,3.44,0,,,Green,Green,False,Green,11749.68,-1.49,-1.49,-4.93,-26.11,-26.11,-4.93,False,False,False,False,False,0.0
2020-02-07,8,0,1,0,0,available components <= 2; capped at 2,21.16,12.0,8.63,0,,,Green,Green,False,Green,11612.81,-0.33,-0.33,-5.47,-25.24,-25.24,-5.47,False,False,False,False,False,0.0
2020-02-10,8,0,1,0,0,available components <= 2; capped at 2,20.01,24.0,9.6,0,,,Green,Green,False,Green,11574.07,0.78,-0.34,-5.15,-24.99,-24.99,-5.15,False,False,False,False,False,0.0
2020-02-11,0,0,1,0,0,available components <= 2; capped at 2,18.46,8.47,4.54,0,,,Green,Green,False,Green,11664.04,-0.13,-1.11,-6.6,-25.57,-25.57,-6.6,False,False,False,False,False,0.0
2020-02-12,0,0,1,0,0,available components <= 2; capped at 2,17.36,6.66,4.14,0,,,Green,Green,False,Green,11774.19,-1.06,-2.89,-11.48,-26.27,-26.27,-11.48,False,False,False,False,False,0.0
2020-02-13,0,0,1,0,0,available components <= 2; capped at 2,16.39,6.37,3.92,0,,,Green,Green,False,Green,11791.78,-1.21,-4.24,-14.1,-26.38,-26.38,-14.1,False,False,False,False,False,0.0
2020-02-14,0,0,1,0,0,available components <= 2; capped at 2,15.53,5.98,3.7,0,,,Green,Green,False,Green,11815.7,-1.41,-5.46,-17.76,-26.53,-26.53,-17.76,False,False,False,False,False,0.0
2020-02-17,4,0,1,0,0,available components <= 2; capped at 2,15.5,12.0,5.9,0,,,Green,Green,False,Green,11763.51,-1.94,-5.04,-19.75,-26.2,-26.2,-19.75,False,False,False,False,False,0.0
2020-02-18,35,1,1,1,1,available components <= 2; capped at 2,16.3,24.0,25.66,2,Yellow,,Yellow,Yellow,False,Yellow,11648.98,-0.98,-4.11,-20.86,-25.48,-25.48,-20.86,False,False,False,False,False,0.0
2020-02-19,0,0,1,0,0,available components <= 2; capped at 2,16.0,6.91,3.89,0,,,Green,Green,False,Green,11758.84,-2.77,-5.0,-26.17,-26.17,-26.17,-26.17,False,False,False,False,False,0.0
2020-02-20,8,0,1,0,0,available components <= 2; capped at 2,15.62,12.0,7.52,0,,,Green,Green,False,Green,11725.09,-3.69,-4.73,-25.96,-25.96,-25.96,-25.96,False,False,False,False,False,0.0
2020-02-21,8,0,1,0,0,available components <= 2; capped at 2,15.3,24.0,8.66,0,,,Green,Green,False,Green,11686.35,-4.41,-6.06,-25.71,-25.71,-25.71,-25.71,False,False,False,False,False,0.0
2020-02-24,35,1,1,1,1,available components <= 2; capped at 2,16.25,36.0,26.85,2,Yellow,,Yellow,Yellow,False,Yellow,11534.87,-3.16,-4.83,-24.74,-24.74,-24.74,-24.74,False,False,False,False,False,0.0
2020-02-25,23,1,1,1,1,available components <= 2; capped at 2,15.74,10.5,19.4,2,Yellow,,Yellow,Yellow,False,Yellow,11540.23,-3.2,-5.6,-24.77,-24.77,-24.77,-24.77,False,False,False,False,False,0.0
2020-02-26,31,1,1,1,1,available components <= 2; capped at 2,15.88,12.25,22.8,2,Yellow,,Yellow,Yellow,False,Yellow,11433.62,-2.3,-8.84,-24.07,-24.07,-24.07,-24.07,False,False,False,False,False,0.0
2020-02-27,35,1,1,1,1,available components <= 2; capped at 2,19.35,24.0,26.27,2,Yellow,,Yellow,Yellow,False,Yellow,11292.17,-1.08,-10.3,-23.12,-23.12,-23.12,-23.12,False,False,False,False,False,0.0
2020-03-02,35,1,1,1,1,available components <= 2; capped at 2,20.72,36.0,27.74,2,Yellow,,Yellow,Yellow,False,Yellow,11170.46,-1.73,-13.0,-22.28,-22.28,-22.28,-22.28,False,False,False,False,False,0.0
2020-03-03,23,1,1,1,1,available components <= 2; capped at 2,17.49,13.99,20.1,2,Yellow,,Yellow,Yellow,False,Yellow,11327.72,-3.09,-16.67,-23.36,-23.36,-23.36,-23.36,False,False,False,False,False,0.0
2020-03-04,23,1,1,1,1,available components <= 2; capped at 2,16.16,12.93,19.73,2,Yellow,,Yellow,Yellow,False,Yellow,11392.35,-4.38,-19.08,-23.8,-23.8,-23.8,-23.8,False,False,False,False,False,0.0
2020-03-05,23,1,1,1,1,available components <= 2; capped at 2,15.31,10.92,19.35,2,Yellow,,Yellow,Yellow,False,Yellow,11514.82,-9.49,-24.61,-24.61,-24.61,-24.61,-24.61,False,False,False,False,False,0.0
2020-03-06,31,1,1,1,1,available components <= 2; capped at 2,17.61,14.09,23.33,2,Yellow,,Yellow,Yellow,False,Yellow,11321.81,-10.54,-23.32,-23.32,-23.32,-23.32,-23.32,False,False,False,False,False,0.0
