Date,TCWRS,ETI-5,Tail Risk,BCD,CP,Signal,Close,Forward 20D Max Drawdown %,False Positive,Drawdown Avoided %
2020-02-03,0,0,16.93,13.55,4.74,Green,11354.92,-1.62,False,0.0
2020-02-04,0,0,12.81,10.24,3.59,Green,11555.92,-3.34,False,0.0
2020-02-05,0,0,14.55,9.95,3.91,Green,11573.62,-3.48,False,0.0
2020-02-06,0,0,13.69,7.06,3.44,Green,11749.68,-4.93,False,0.0
2020-02-07,8,1,21.16,12.0,14.63,Yellow,11612.81,-5.47,False,0.0
2020-02-10,8,2,20.01,24.0,21.6,Yellow,11574.07,-5.15,False,0.0
2020-02-11,0,0,18.46,8.47,4.54,Green,11664.04,-6.6,False,0.0
2020-02-12,0,0,17.36,6.66,4.14,Green,11774.19,-11.48,False,0.0
2020-02-13,0,0,16.39,6.37,3.92,Green,11791.78,-14.1,False,0.0
2020-02-14,0,0,15.53,5.98,3.7,Green,11815.7,-17.76,False,0.0
2020-02-17,4,0,15.5,12.0,5.9,Green,11763.51,-19.75,False,0.0
2020-02-18,35,5,16.3,24.0,49.66,Red,11648.98,-20.86,False,20.86
2020-02-19,0,0,16.0,6.91,3.89,Green,11758.84,-26.17,False,0.0
2020-02-20,8,0,15.62,12.0,7.52,Green,11725.09,-25.96,False,0.0
2020-02-21,8,1,15.3,24.0,14.66,Yellow,11686.35,-25.71,False,0.0
2020-02-24,35,5,16.25,36.0,50.85,Red,11534.87,-24.74,False,24.74
2020-02-25,23,3,15.74,10.5,31.4,Strengthened Yellow,11540.23,-24.77,False,0.0
2020-02-26,31,3,15.88,12.25,34.8,Strengthened Yellow,11433.62,-24.07,False,0.0
2020-02-27,35,5,19.35,24.0,50.27,Red,11292.17,-23.12,False,23.12
2020-03-02,35,5,20.72,36.0,51.74,Red,11170.46,-22.28,False,22.28
2020-03-03,23,2,17.49,13.99,26.1,Strengthened Yellow,11327.72,-23.36,False,0.0
2020-03-04,23,2,16.16,12.93,25.73,Strengthened Yellow,11392.35,-23.8,False,0.0
2020-03-05,23,2,15.31,10.92,25.35,Strengthened Yellow,11514.82,-24.61,False,0.0
2020-03-06,31,3,17.61,14.09,35.33,Strengthened Yellow,11321.81,-23.32,False,0.0
2020-03-09,35,5,41.99,24.18,54.81,Red,10977.64,-20.92,False,20.92
2020-03-10,23,3,25.55,22.0,34.51,Strengthened Yellow,11000.34,-21.08,False,0.0
2020-03-11,31,3,26.4,25.05,38.18,Strengthened Yellow,10893.75,-20.31,False,0.0
2020-03-12,38,5,47.29,42.91,58.95,Red,10422.32,-16.7,False,16.7
2020-03-13,38,5,63.19,52.51,63.09,Red,10128.87,-14.29,False,14.29
2020-03-16,38,5,60.84,66.66,64.03,Red,9717.77,-10.67,False,10.67
2020-03-17,38,5,61.24,74.65,64.91,Red,9439.63,-8.03,False,8.03
2020-03-18,35,5,60.78,80.01,64.16,Red,9218.67,-5.83,False,5.83
2020-03-19,38,5,72.3,98.87,69.55,Red,8681.34,2.4,True,0.0
2020-03-20,23,2,60.46,68.36,40.13,Strengthened Yellow,9234.09,-3.73,False,0.0
2020-03-23,34,3,67.53,78.94,53.0,Strengthened Yellow,8890.03,4.45,False,0.0
2020-03-24,23,2,59.41,55.46,38.63,Strengthened Yellow,9285.62,3.7,False,0.0
2020-03-25,23,2,56.26,41.63,36.62,Strengthened Yellow,9644.75,-0.16,False,0.0
2020-03-26,23,2,56.69,40.12,36.55,Strengthened Yellow,9736.36,-1.1,False,0.0
2020-03-27,27,2,56.68,40.74,38.21,Strengthened Yellow,9698.92,-0.72,False,0.0
2020-03-30,35,4,55.98,41.88,53.38,Red,9629.43,0.36,True,0.0
2020-03-31,23,2,56.09,40.59,36.48,Strengthened Yellow,9708.06,-0.46,False,0.0
2020-04-01,27,2,55.56,41.32,38.04,Strengthened Yellow,9663.63,1.61,False,0.0
2020-04-06,23,2,56.31,38.77,36.34,Strengthened Yellow,9818.74,1.81,False,0.0
2020-04-07,15,0,56.24,35.85,20.83,Yellow,9996.39,1.03,False,0.0
2020-04-08,15,0,56.69,33.54,20.69,Yellow,10137.47,-0.38,False,0.0
2020-04-09,19,0,56.64,33.83,22.31,Yellow,10119.43,-0.2,False,0.0
2020-04-10,15,0,54.08,33.21,20.14,Yellow,10157.61,-0.57,False,0.0
2020-04-13,19,0,52.89,34.16,21.6,Yellow,10099.22,0.0,False,0.0
