Date,TCWRS,ETI-5,Tail Risk,BCD,CP,Signal,Close,Forward 20D Max Drawdown %,False Positive,Drawdown Avoided %
2022-01-03,0,0,8.92,0.0,1.78,Green,18270.51,-3.26,False,0.0
2022-01-04,0,0,12.6,0.0,2.52,Green,18526.35,-4.6,False,0.0
2022-01-05,4,0,10.17,12.0,4.83,Green,18499.96,-4.46,False,0.0
2022-01-06,8,1,10.73,24.0,13.75,Yellow,18367.92,-3.78,False,0.0
2022-01-07,12,3,16.06,36.0,29.61,Yellow,18169.76,-2.73,False,0.0
2022-01-10,4,0,11.45,3.1,4.2,Green,18239.38,-3.1,False,0.0
2022-01-11,4,0,10.48,2.57,3.95,Green,18288.21,-3.36,False,0.0
2022-01-12,0,0,10.52,1.63,2.27,Green,18375.4,-3.81,False,0.0
2022-01-13,0,0,10.32,0.97,2.16,Green,18436.93,-4.14,False,0.0
2022-01-14,4,0,10.43,12.0,4.89,Green,18403.33,-3.96,False,0.0
2022-01-17,0,0,9.73,0.01,1.95,Green,18525.44,-4.59,False,0.0
2022-01-18,12,1,10.4,12.0,14.08,Yellow,18378.64,-4.27,False,0.0
2022-01-19,28,5,14.48,24.0,46.5,Red,18227.46,-3.47,True,3.47
2022-01-20,32,3,10.9,36.0,36.58,Strengthened Yellow,18218.28,-3.42,False,0.0
2022-01-21,35,5,16.2,48.0,52.04,Red,17899.3,-1.7,True,1.7
2022-01-24,23,3,13.16,7.86,30.62,Strengthened Yellow,17989.04,-2.19,False,0.0
2022-01-25,31,4,14.4,15.28,40.81,Red,17701.12,-0.6,True,0.6
2022-01-26,35,4,15.74,24.0,43.55,Red,17674.4,-2.8,True,2.8
2022-02-07,23,2,15.15,8.65,25.09,Strengthened Yellow,17900.3,-6.01,False,0.0
2022-02-08,23,2,15.19,6.49,24.89,Strengthened Yellow,17966.56,-6.35,False,0.0
2022-02-09,20,2,14.64,4.04,23.33,Yellow,18151.76,-7.31,False,0.0
2022-02-10,0,0,15.32,2.03,3.27,Green,18338.05,-8.25,False,0.0
2022-02-11,4,0,15.06,12.0,5.81,Green,18310.94,-8.11,False,0.0
2022-02-14,35,5,16.71,24.0,49.74,Red,17997.67,-6.51,False,6.51
2022-02-15,35,4,17.65,36.0,45.13,Red,17951.81,-6.28,False,6.28
2022-02-16,0,0,17.2,3.18,3.76,Green,18231.47,-7.71,False,0.0
2022-02-17,0,0,17.1,2.78,3.7,Green,18268.57,-7.9,False,0.0
2022-02-18,4,0,17.04,12.0,6.21,Green,18232.35,-7.72,False,0.0
2022-02-21,4,1,17.03,24.0,13.41,Yellow,18221.49,-7.66,False,0.0
2022-02-22,35,5,17.56,36.0,51.11,Red,17969.29,-6.37,False,6.37
2022-02-23,20,2,17.52,5.08,24.01,Yellow,18055.73,-6.81,False,0.0
2022-02-24,31,4,22.99,12.48,42.25,Red,17594.55,-4.37,True,4.37
2022-02-25,23,3,20.12,10.1,32.23,Strengthened Yellow,17652.18,-4.68,False,0.0
2022-03-01,23,2,19.79,6.78,25.84,Strengthened Yellow,17898.25,-5.99,False,0.0
2022-03-02,27,2,19.69,12.0,27.94,Strengthened Yellow,17867.6,-5.83,False,0.0
2022-03-03,23,2,18.57,6.39,25.55,Strengthened Yellow,17934.4,-6.18,False,0.0
2022-03-04,31,3,19.15,12.0,35.43,Strengthened Yellow,17736.52,-5.14,False,0.0
2022-03-07,35,5,37.92,24.0,53.98,Red,17178.69,-2.06,True,2.06
2022-03-08,35,5,46.24,36.0,56.85,Red,16825.25,0.6,True,0.0
2022-03-09,23,2,23.36,23.96,28.27,Strengthened Yellow,17015.36,-0.52,False,0.0
2022-03-10,23,2,25.4,11.8,27.46,Strengthened Yellow,17433.2,-2.91,False,0.0
2022-03-11,31,3,25.55,14.54,36.96,Strengthened Yellow,17264.74,-1.96,False,0.0
2022-03-14,35,3,24.85,24.0,39.37,Strengthened Yellow,17263.04,-1.95,False,0.0
2022-03-15,35,5,25.82,36.0,52.76,Red,16926.06,0.09,True,0.0
2022-03-16,23,3,24.67,19.42,34.08,Strengthened Yellow,16940.83,0.3,False,0.0
2022-03-17,23,2,28.1,11.64,27.98,Strengthened Yellow,17448.22,-3.15,False,0.0
2022-03-18,23,2,28.12,11.55,27.98,Strengthened Yellow,17456.52,-3.19,False,0.0
2022-03-21,15,0,28.31,10.43,12.7,Green,17560.36,-3.77,False,0.0
2022-03-22,19,0,27.85,12.0,14.37,Green,17559.71,-3.76,False,0.0
2022-03-23,15,0,28.1,8.58,12.48,Green,17731.37,-4.7,False,0.0
2022-03-24,19,0,26.09,12.0,14.02,Green,17699.06,-6.09,False,0.0
2022-03-25,19,1,26.06,24.0,21.21,Yellow,17676.95,-5.97,False,0.0
2022-03-28,23,3,25.62,36.0,35.92,Strengthened Yellow,17520.01,-6.94,False,0.0
2022-03-29,15,0,25.64,10.55,12.18,Green,17548.66,-7.1,False,0.0
2022-03-30,15,0,26.02,8.48,12.05,Green,17740.56,-8.1,False,0.0
2022-03-31,19,0,25.65,12.0,13.93,Green,17693.47,-7.86,False,0.0
2022-04-01,19,1,22.03,24.0,20.41,Yellow,17625.59,-7.5,False,0.0
2022-04-06,19,1,20.25,36.0,21.25,Yellow,17522.5,-6.96,False,0.0
2022-04-07,35,5,22.82,48.0,53.36,Red,17178.63,-5.1,False,5.1
2022-04-08,23,3,19.31,13.41,32.4,Strengthened Yellow,17284.54,-7.15,False,0.0
2022-04-11,31,3,19.94,15.96,35.98,Strengthened Yellow,17048.37,-5.86,False,0.0
2022-04-12,35,4,20.72,24.0,44.54,Red,16990.91,-5.8,False,5.8
2022-04-13,23,2,19.45,13.22,26.41,Strengthened Yellow,17301.65,-9.74,False,0.0
2022-04-14,27,2,19.53,13.83,28.09,Strengthened Yellow,17245.65,-9.45,False,0.0
2022-04-15,35,5,20.54,24.0,50.51,Red,17004.18,-8.16,False,8.16
2022-04-18,35,4,21.96,36.0,45.99,Red,16898.87,-7.59,False,7.59
2022-04-19,23,2,20.69,16.55,26.99,Strengthened Yellow,16993.4,-8.1,False,0.0
2022-04-20,23,2,18.59,14.87,26.4,Strengthened Yellow,17148.88,-8.93,False,0.0
2022-04-21,27,2,18.87,15.1,28.08,Strengthened Yellow,17127.95,-8.82,False,0.0
2022-04-22,35,3,20.26,24.0,38.45,Strengthened Yellow,17025.09,-8.27,False,0.0
