Date,TCWRS,ETI-5,eti_available_count,eti_raw_score,eti_capped_score,eti_cap_reason,Tail Risk,BCD,CP,bear_trend_score,bear_trend_floor_signal,red_confirmed_by,signal_before_stability_rule,signal_after_stability_rule,red_lock_active,Signal,Close,forward_5d_max_drawdown,forward_10d_max_drawdown,forward_20d_max_drawdown,forward_40d_max_drawdown,forward_60d_max_drawdown,Forward 20D Max Drawdown %,false_positive_20d,false_positive_40d,false_positive_60d,delayed_valid_signal,False Positive,Drawdown Avoided %
2022-01-03,0,0,1,0,0,available components <= 2; capped at 2,8.92,0.0,1.78,0,,,Green,Green,False,Green,18270.51,-0.55,-0.55,-3.26,-7.91,-7.91,-3.26,False,False,False,False,False,0.0
2022-01-04,0,0,1,0,0,available components <= 2; capped at 2,12.6,0.0,2.52,0,,,Green,Green,False,Green,18526.35,-1.92,-1.92,-4.6,-9.18,-9.18,-4.6,False,False,False,False,False,0.0
2022-01-05,4,0,1,0,0,available components <= 2; capped at 2,10.17,12.0,4.83,0,,,Green,Green,False,Green,18499.96,-1.78,-1.78,-4.46,-9.05,-9.05,-4.46,False,False,False,False,False,0.0
2022-01-06,8,0,1,0,0,available components <= 2; capped at 2,10.73,24.0,7.75,0,,,Green,Green,False,Green,18367.92,-1.08,-1.08,-3.78,-8.4,-8.4,-3.78,False,False,False,False,False,0.0
2022-01-07,12,0,1,0,0,available components <= 2; capped at 2,16.06,36.0,11.61,0,,,Green,Green,False,Green,18169.76,0.38,-1.49,-2.73,-7.4,-7.4,-2.73,False,False,False,False,False,0.0
2022-01-10,4,0,1,0,0,available components <= 2; capped at 2,11.45,3.1,4.2,0,,,Green,Green,False,Green,18239.38,0.27,-1.86,-3.1,-7.75,-7.75,-3.1,False,False,False,False,False,0.0
2022-01-11,4,0,1,0,0,available components <= 2; capped at 2,10.48,2.57,3.95,0,,,Green,Green,False,Green,18288.21,0.48,-3.21,-3.36,-8.0,-8.0,-3.36,False,False,False,False,False,0.0
2022-01-12,0,0,1,0,0,available components <= 2; capped at 2,10.52,1.63,2.27,0,,,Green,Green,False,Green,18375.4,-0.81,-3.81,-3.81,-8.44,-8.44,-3.81,False,False,False,False,False,0.0
2022-01-13,0,0,1,0,0,available components <= 2; capped at 2,10.32,0.97,2.16,0,,,Green,Green,False,Green,18436.93,-1.19,-4.14,-4.14,-8.74,-8.74,-4.14,False,False,False,False,False,0.0
2022-01-14,4,0,1,0,0,available components <= 2; capped at 2,10.43,12.0,4.89,0,,,Green,Green,False,Green,18403.33,-2.74,-3.96,-3.96,-8.57,-8.57,-3.96,False,False,False,False,False,0.0
2022-01-17,0,0,1,0,0,available components <= 2; capped at 2,9.73,0.01,1.95,0,,,Green,Green,False,Green,18525.44,-3.38,-4.59,-4.59,-9.18,-10.28,-4.59,False,False,False,False,False,0.0
2022-01-18,12,0,1,0,0,available components <= 2; capped at 2,10.4,12.0,8.08,0,,,Green,Green,False,Green,18378.64,-3.69,-3.83,-4.27,-8.45,-9.56,-4.27,False,False,False,False,False,0.0
2022-01-19,28,1,1,1,1,available components <= 2; capped at 2,14.48,24.0,22.5,0,,,Yellow,Yellow,False,Yellow,18227.46,-3.03,-3.03,-3.47,-7.69,-10.56,-3.47,False,False,False,False,False,0.0
2022-01-20,32,1,1,1,1,available components <= 2; capped at 2,10.9,36.0,24.58,0,,,Yellow,Yellow,False,Yellow,18218.28,-2.99,-2.99,-3.42,-7.65,-10.51,-3.42,False,False,False,False,False,0.0
2022-01-21,35,1,1,1,1,available components <= 2; capped at 2,16.2,48.0,28.04,2,Yellow,,Yellow,Yellow,False,Yellow,17899.3,-1.26,-1.26,-1.7,-6.0,-8.92,-1.7,False,False,False,False,False,0.0
2022-01-24,23,1,1,1,1,available components <= 2; capped at 2,13.16,7.86,18.62,2,Yellow,,Yellow,Yellow,False,Yellow,17989.04,-1.75,-1.75,-2.19,-6.47,-9.37,-2.19,False,False,False,False,False,0.0
